style,pattern,more_attributes,sleeve_type,tops_fit,bottoms_fit,barcode
casual,,,straight-sleeve,regular-fit-tops,,48436501020101
casual,,,,,,50090901020101
casual,plain,,,,,50575001030101
casual,,,,regular-fit-tops,,49441802020101
feminine,,,straight-sleeve,,,49174901050101
casual,plain,,,,slim-bottoms,50267401060101
casual,plain,,,,slim-bottoms,48075902050101
casual,plain,,straight-sleeve,regular-fit-tops,,48810501050101
casual,,,straight-sleeve,,,49911501410101
feminine,,,,,,49925001060101
feminine,,,straight-sleeve,,,49194501030101
feminine,,,straight-sleeve,,,48372601080101
casual,,,,,,49606201040101
casual,,,straight-sleeve,regular-fit-tops,,47949901020101
feminine,,,,,,50795101030101
casual,plain,,straight-sleeve,regular-fit-tops,,51265101040101
casual,,,,,,50261401020101
casual,plain,,,,slim-bottoms,48533403050101
casual,,,straight-sleeve,regular-fit-tops,,50323301020101
casual,,,straight-sleeve,,,48387701410101
casual,,,,oversized-tops,,50127401020101
casual,,,,,,47949201040101
casual,plain,buttons,straight-sleeve,regular-fit-tops,,48039201040101
casual,,,,,,48745303030101
casual,plain,,,,,49958901020101
casual,,,straight-sleeve,regular-fit-tops,,50388301080101
casual,plain,,,,,48897601010101
casual,,,straight-sleeve,regular-fit-tops,,49113401030101
casual,plain,buttons,straight-sleeve,regular-fit-tops,,48928301020101
casual,,,straight-sleeve,,,50981301410101
feminine,plain,,,,,50531001030101
casual,,,straight-sleeve,regular-fit-tops,,50868901020101
,,,,,,48611801050101
casual,plain,,,,,48808802050101
casual,plain,,,,,50359901010101
casual,plain,,,,,49388801030101
casual,,,,,,51126401030101
feminine,,,,,,49844401030101
casual,plain,,straight-sleeve,regular-fit-tops,,49015801020101
casual,,,straight-sleeve,,,48339401020101
casual,,,,,,50339201040101
,,,straight-sleeve,,,49108401040101
casual,,,straight-sleeve,regular-fit-tops,,49791501110101
casual,,,straight-sleeve,regular-fit-tops,,51292101080101
casual,,,,,,48257301080101
casual,,,straight-sleeve,regular-fit-tops,,51308302020101
casual,,,,,,50667501050101
casual,plain,,,,slim-bottoms,43584019030101
casual,plain,,,,,47965502060101
feminine,,,,,,50566401050101
casual,,,straight-sleeve,regular-fit-tops,,48028201030101
casual,,,,,slim-bottoms,50951301030101
casual,plain,buttons,straight-sleeve,regular-fit-tops,,47754402050101
feminine,,,straight-sleeve,,,50217801040101
casual,,,,,,48303601020101
casual,,,,,,50061601040101
feminine,,,,,,49774001050101
casual,,,straight-sleeve,regular-fit-tops,,48786001050101
casual,plain,,,regular-fit-tops,,48130301020101
feminine,,,,,,48346601050101
casual,,,,,,30652201020101
casual,plain,,,regular-fit-tops,,47984801020101
casual,,,,,,48122101030101
casual,,buttons,straight-sleeve,regular-fit-tops,,50768401020101
casual,,,straight-sleeve,regular-fit-tops,,50974701040101
casual,,,,regular-fit-tops,,49081601040101
casual,,,,regular-fit-tops,,47933101040101
casual,,,straight-sleeve,regular-fit-tops,,50927201030101
casual,,,,,,49840601030101
casual,,,,,,48621302030101
casual,,,straight-sleeve,oversized-tops,,51232501020101
casual,plain,,,,,48457203110101
