barcode,style,tops_fit,bottoms_fit,sleeve_type,pattern,more_attributes,brand,image_path
48920502040101,casual,regular-fit-tops,,straight-sleeve,shapes,buttons,ETERNA,images\489205_02_642adb1670216c001194fc17.jpg
50792701020101,casual,regular-fit-tops,,straight-sleeve,chevron; harlequin,embroidered,Geisha,images\507927_01_6488eab8d7dc2e001087c0fd.jpg
50593801040101,business,,slim-bottoms,,houndstooth,,TONI,images\505938_01_64ff0a6c07ed590011484286.jpg
47988301030101,feminine,,,,stripes; vertical-stripes,,Nümph,images\479883_01_617284f48b44f30011ac308f.jpg
48372601080101,feminine,,,straight-sleeve,floral,,Verpass,images\483726_01_6706-60-1.jpg
48794001050101,casual,regular-fit-tops,,straight-sleeve,marled; varsity-striped,,Rabe,images\487940_01_620f7e302ec3e10012a2addf.jpg
49975101020101,casual,regular-fit-tops,,straight-sleeve,geometric,buttons,ONLY,images\499751_01_62695f6f6319310013a3eb14.jpg
50378501020101,casual,oversized-tops,,puff-sleeve,,,Xandres,images\503785_01_28605-01-3154_01.jpg
48216301080101,business,regular-fit-tops,,straight-sleeve,stripes; vertical-stripes,buttons,Doris Streich,images\482163_01_61e76a1af1b23b0011f79dd8.jpg
48897601010101,casual,,straight-fit-bottoms,,plain,,Joseph Ribkoff,images\488976_01_223966-110-1-WEB.jpg
50912301070101,casual,regular-fit-tops,,straight-sleeve,,buttons,ONLY Carmakoma,images\509123_01_644a3dd3a6eae0001295d2c5.jpg
47756701050101,casual,bodycon-tops,,,plain,,GERRY WEBER,images\477567_01_617741aa93c6900011d300ed.jpg
49915002050101,casual,oversized-tops,,straight-sleeve,horizontal-stripes,,Part Two,images\499150_02_30307546_301963_500.jpg
50004501080101,casual,regular-fit-tops,,straight-sleeve,brush-stroke,buttons,Doris Streich,images\500045_01_6386ac32741f4a00110a2110.jpg
48130301020101,casual,regular-fit-tops,,,plain,,Liu Jo Denim,images\481303_01_8057590003036---WA2461J6308R9020-S-AF-N-N-08-N.jpg
49925001060101,feminine,,,flutter-sleeve,floral; leaf,,Joseph Ribkoff,images\499250_01_231745-2539-1-WEB.jpg
48893001110101,bohemian,,,straight-sleeve,animals; floral; leaf; natural,,Joseph Ribkoff,images\488930_01_223207-178-5-WEB.jpg
49504803020101,casual,,skinny-bottoms,,vertical-stripes,,BRAX,images\495048_03_62edf860ae6a5d0011dff4ac.jpg
50545901050101,casual,,oversized-bottoms,,,,Mayerline,images\505459_01_mayerline-wijde-printbroek-met-rugelastiek_S2023CEDINE7326208-1.jpg
49844401030101,feminine,,,puff-sleeve,geometric,,Nümph,images\498444_01_632c5db9e67d230011e38589.jpg
50336401040101,bohemian,,,,leaf,,Caroline Biss,images\503364_01_02-09b.jpg
50756301030101,casual,oversized-tops,,puff-sleeve,varsity-striped,,CKS,images\507563_01_prevude-trui.jpg
48621302030101,casual,,,straight-sleeve,glen-check; plain,,FAM the label,images\486213_02_COCO_dark-clay-tencel-3.jpg
